;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
0;0;1960;154034;-16.145;-72.144;60;7.5;20223006;POINT (-72.144 -16.145);-16.145,-72.144;Fuerte;Intermedia;Arequipa
1;1;1960;93024;-15.0;-75.0;70;7.0;20223006;POINT (-75 -15);-15.0,-75.0;Fuerte;Intermedia;Ica
2;2;1960;25758;-14.5;-74.5;150;6.4;20223006;POINT (-74.5 -14.5);-14.5,-74.5;Fuerte;Intermedia;Ayacucho
4;4;1960;50724;-5.5;-77.5;100;5.7;20223006;POINT (-77.5 -5.5);-5.5,-77.5;Moderado;Intermedia;Loreto
5;5;1960;190616;-8.5;-74.5;136;5.3;20223006;POINT (-74.5 -8.5);-8.5,-74.5;Moderado;Intermedia;Ucayali
6;6;1960;204006;-17.5;-70.0;150;5.9;20223006;POINT (-70 -17.5);-17.5,-70.0;Moderado;Intermedia;Tacna
8;8;1960;131823;-14.5;-73.5;100;6.1;20223006;POINT (-73.5 -14.5);-14.5,-73.5;Fuerte;Intermedia;Apurimac
12;12;1960;20539;-15.0;-70.5;200;5.9;20223006;POINT (-70.5 -15);-15.0,-70.5;Moderado;Intermedia;Puno
17;17;1960;135833;-3.0;-75.9;146;6.4;20223006;POINT (-75.9 -3);-3.0,-75.9;Fuerte;Intermedia;Loreto
18;18;1960;165813;-16.0;-72.9;115;5.3;20223006;POINT (-72.9 -16);-16.0,-72.9;Moderado;Intermedia;Arequipa
19;19;1960;220219;-14.4;-71.6;55;5.3;20223006;POINT (-71.6 -14.4);-14.4,-71.6;Moderado;Superficial;Cusco
20;20;1960;65327;-16.1;-71.9;114;5.6;20223006;POINT (-71.9 -16.1);-16.1,-71.9;Moderado;Intermedia;Arequipa
22;22;1960;191706;-16.0;-74.0;33;5.8;20223006;POINT (-74 -16);-16.0,-74.0;Moderado;Superficial;Arequipa
23;23;1960;73831;-15.2;-73.5;28;5.2;20223006;POINT (-73.5 -15.2);-15.2,-73.5;Moderado;Superficial;Ayacucho
24;24;1960;34721;-16.2;-72.9;147;5.2;20223006;POINT (-72.9 -16.2);-16.2,-72.9;Moderado;Intermedia;Arequipa
25;25;1960;110336;-17.0;-70.0;47;5.6;20223006;POINT (-70 -17);-17.0,-70.0;Moderado;Superficial;Puno
26;26;1961;52146;-15.9;-73.1;135;5.1;20223006;POINT (-73.1 -15.9);-15.9,-73.1;Moderado;Intermedia;Arequipa
28;28;1961;80413;-10.4;-71.0;600;6.0;20223006;POINT (-71 -10.4);-10.4,-71.0;Fuerte;Profundo;Ucayali
30;30;1961;171747;-18.3;-70.2;29;5.3;20223006;POINT (-70.2 -18.3);-18.3,-70.2;Moderado;Superficial;Tacna
31;31;1961;175214;-13.2;-75.1;83;6.2;20223006;POINT (-75.1 -13.2);-13.2,-75.1;Fuerte;Intermedia;Huancavelica
32;32;1961;42156;-18.1;-70.3;60;5.3;20223006;POINT (-70.3 -18.1);-18.1,-70.3;Moderado;Intermedia;Tacna
33;33;1961;105630;-12.0;-75.3;29;5.5;20223006;POINT (-75.3 -12);-12.0,-75.3;Moderado;Superficial;Junin
34;34;1961;131040;-15.3;-74.8;68;5.8;20223006;POINT (-74.8 -15.3);-15.3,-74.8;Moderado;Intermedia;Arequipa
